Player Name,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Total
Player 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
